Liste de la plupart des transistors utilisés :

Reference:	Description:
2SB641	SI-P 30V 0.1A 120MHz
2SB647	SI-P 120V 1A 0.9W 140MHz
2SB649A	SI-P 160V 1.5A 1W 140MHz
2SB656	SI-P 160V 12A 125W 20MHz
2SB673	P-DARL+D 100V 7A 40W 0.8us
2SB676	P-DARL 100V 4A 30W 0.15us
2SB681	SI-N 150V 12A 100W 13MHz
2SB688	SI-P 120V 8A 80W 10MHz
2SB700	SI-P 160V 12A 100W
2SB703	SI-P 100V 4A 40W 18MHz
2SB705	SI-P 140V 10A 120W 17MHz
2SB707	SI-P 80V 7A 40W POWER
2SB709	SI-P 45V 0.1A 0.2W 80MHz
2SB716	SI-P 120V 0.05A 0.75W
2SB720	SI-P 200V 2A 25W 100MHz
2SB727	P-DARL+D 120V 6A 50W B>1K
2SB731	SI-P 60V 1A 10W 75MHz
2SB733	SI-P 20V 2A 1W >50MHz
2SB734	SI-P 60V 1A 1W 80MHz
2SB739	SI-P 20/16V 2A 0.9W 80MHz
2SB740	SI-P 70V 1A 0.9W
2SB744	SI-P 70V 3A 10W 45MHz
2SB750	P-DARL+D 60V 2A 35W B>100
2SB753	SI-P 100V 7A 40W 0.4us
2SB764	SI-P 60V 1A 0.9A 150MHz
2SB765	P-DARL+D 120V 3A 30W B>1K
2SB766	SI-P 30V 1A 200MHz
2SB772	SI-P 40V 3A 10W 80MHz
2SB774	SI-P 30V 0.1A 0.4W 150MHz
2SB775	SI-P 100V 6A 60W 13MHz
2SB776	SI-P 120V 7A 70W 15MHz
2SB788	SI-P 120V 0.02A 0.4W 150MHz
2SB791	P-DARL+D 120V 8A 40W B>10
2SB794	P-DARL+D 60V 1.5A 10W B=7
2SB795	P-DARL+D 80V 1.5A 10W B<3
2SB808	SI-P 20V 0.7A 0.25W 250MHz
2SB810	SI-P 30V 0.7A 0.35W 160MHz
2SB815	SI-P 20V 0.7A 0.25W 250MHz
2SB816	SI-P 150V 8A 80W 15MHz
2SB817	SI-P 160V 12A 100W
2SB817F	SI-P 160V 12A 90W 15MHz
2SB819	SI-P 50V 1.5A 1W 150MHz
2SB822	SI-P 40V 2A 0.75W 100MHz
2SB824	SI-P 60V 5A 30W 30 MHz
2SB825	SI-P 60V 7A 40W 10MHz
2SB826	SI-P 60V 12A 40W 10MHz
2SB827	SI-P 60V 7A 80W 10MHz
2SB828	SI-P 60V 12A 80W 10MHz
2SB829	SI-P 60V 15A 90W 20MHz
2SB857	SI-P 50V 4A 40W NF/S-L
2SB861	SI-P 200V 2A 30W
2SB863	SI-P 140V 10A 100W 15MHz
2SB865	P-DARL 80V 1.5A 0.9W
2SB873	SI-P 30V 5A 1W 120MHz
2SB882	P-DARL+D 70V 10A 40W B>5K
2SB883	P-DARL+D 70V 15A 70W B=5K
2SB884	P-DARL 110V 3A 30W B=4K
2SB885	P-DARL+D 110V 3A 35W B=4K
2SB891	SI-P 40V 2A 5W 100MHz
2SB892	SI-P 60V 2A 1W
2SB895A	P-DARL 60V 1A B=8000
2SB897	P-DARL+D 100V 10A 80W B>1
2SB908	P-DARL+D 80V 4A 15W 0.15us
2SB909	SI-P 40V 1A 1W 150MHz
2SB922	SI-P 120V 12A 80W 20MHz
2SB926	SI-P 30V 2A 0.75W
2SB938A	P-DARL+D 60V 4A 40W B>1K
2SB940	SI-P 200V 2A 35W 30MHz
2SB941	SI-P 60V 3A 35W POWER
2SB945	SI-P 130V 5A 40W 30MHz
2SB946	SI-P 130V 7A 40W 30MHz
2SB950A	P-DARL+D 80V 4A 40W B>1K
2SB953A	SI-P 50V 7A 30W 150MHz
2SB955	P-DARL+D 120V 10A 50W B=4
2SB975	P-DARL+D 100V 8A 40W B>6K
2SB976	SI-P 27V 5A 0.75W 120MHz
2SB985	SI-P 60V 3A 1W 150MHz
2SB986	SI-P 60V 4A 10W 150MHz
2SB988	SI-P 60V 3A 30W <400/2200
2SC1000	SI-N 55V 0.1A 0.2W 80MHz
2SC1008	SI-N 80V 0.7A 0.8W 75MHz
2SC1012A	SI-N 250V 60mA 0.75W >80MHz
2SC1014	SI-N 50V 1.5A 7W
2SC1017	SI-N 75V 1A 60mW 120MHz
2SC1030	SI-N 150V 6A 50W
2SC1046	SI-N 1000V 3A 25W
2SC1047	SI-N 30V 20mA 0.4W 650MHz
2SC1050	SI-N 300V 1A 40W
2SC1051	SI-N 150V 7A 60W 8MHz
2SC1061	SI-N 50V 3A 25W 8MHz=H106
2SC1070	SI-N 30V 20mA 900MHz
2SC1080	SI-N 110V 12A 100W 4MHz
2SC109	SI-N 50V 0.6A 0.6W
2SC1096	SI-N 40V 3A 10W 60MHz
2SC1106	SI-N 350V 2A 80W
2SC1114	SI-N 300V 4A 100W 10MHz
2SC1115	SI-N 140V 10A 100W 10MHz
2SC1116	SI-N 180V 10A 100W 10MHz
2SC1161	SI-P 160V 12A 120W
2SC1162	SI-N 35V 1.5A 10W 180MHz
2SC1172	SI-N 1500V 5A 50W
2SC1195	SI-N 200V 2.5A 100W
2SC1213C	SI-N 50V 0.5A 0.4W UNI
2SC1214	SI-N 50V 0.5A 0.6W 50MHz
2SC1215	SI-N 30V 50mA 0.4W 1.2GHZ
2SC1216	SI-N 40V 0.2A 0.3W <20/40
2SC1226	SI-N 40/50V 2A 10W 150MHz
2SC1238	SI-N 35V 0.15A 5W 1.7GHz
2SC1247A	SI-N 50V 0.5A 0.4W 60MHz
2SC1308	SI-N 1500V 7A 50W
2SC1312	SI-N 35V 0.1A 0.15W 100MHz
2SC1318	SI-N 60V 0.5A 0.6W 200MHz
2SC1343	SI-N 150V 10A 100W 14MHz
2SC1345	SI-N 55V 0.1A 0.1W 230MHz
2SC1359	SI-N 30V 30mA 0.4W 250MHz
2SC1360	SI-N 50V 0.05A 1W >300MHz
2SC1362	SI-N 50V 0.2A 0.25W 140MHz
2SC1368	SI-N 25V 1.5A 8W 180MHz
2SC1382	SI-N 80V 0.75A 5W 100MHz
2SC1384	SI-N 60V 1A 1W 200MHz
2SC1393	SI-N 30V 20mA 250 mW 700MHz
2SC1398	SI-N 70V 2A 15W
2SC1413A	SI-N 1200V 5A 50W
2SC1419	SI-N 50V 2A 20W 5MHz
2SC1426	SI-N 35V 0.2A 2.7GHz
2SC1431	SI-N 110V 2A 23W 80MHz
2SC1432	N-DARL 30V 0.3A 0.3W B=40
2SC1439	SI-N 150V 50mA 0.5W 130MHz
2SC1445	SI-N 100V 6A 40W 10MHz
2SC1446	SI-N 300V 0.1A 10W 55MHz
2SC1447	SI-N 300V 0.15A 20W 80MHz
2SC1448	SI-N 150V 1.5A 25W 3MHz
2SC1449	SI-N 40V 2A 5W 60MHz
2SC1450	SI-N 150V 0.4A 20W
2SC1501	SI-N 300V 0.1A 10W 55MHz
2SC1505	SI-N 300V 0.2A 15W
2SC1507	SI-N 300V 0.2A 15W 80MHz
2SC1509	SI-N 80V 0.5A 1W 120MHz
2SC1515	SI-N 200V 0.05A 0.2W 110MHz
2SC1520	SI-N 300V 0.2A 12,5W
2SC1545	N-DARL 40V 0.3A 0.3W B=1K
2SC1567	SI-N 100V 0.5A 5W 120MHz
2SC1570	SI-N 55V 0.1A 0.2W 100MHz
2SC1571	SI-N 40V 0.1A 0.2W 100MHz
2SC1573	SI-N 200V 0.1A 1W 80MHz
2SC1577	SI-N 500V 8A 80W 7MHz
2SC1583	SI-N 50V 0.1A 0.4W 100MHz
2SC1619	SI-N 100V 6A 50W 10MHz
2SC1623	SI-N 60V 0.1A 0.2W 250MHz
2SC1624	SI-N 120V 1A 15W 30MHz
2SC1627	SI-N 80V 0.4A 0.8W 100MHz
2SC1674	SI-N 30V .02A 600MC RF/IF
2SC1675	SI-N 50V .03A 0.25W
2SC1678	SI-N 65V 3A 3W
2SC1685	SI-N 60V 0.1A 150MC UNI
2SC1688	SI-N 50V 30mA 0.4W 550MHz
2SC1708A	SI-N 120V 50mA 0.2W 150MHz
2SC1729	SI-N 35V 3.5A 16W 500MHz
2SC1730	SI-N 30V 0.05A 1.1GHz UHF
2SC1740	SI-N 40V 100mA 0.3W
2SC1741	SI-N 40V 0.5A 0.3W 250MHz
2SC1756	SI-N 300V 0.2A >50MHz
2SC1760	SI-N 100V 1A 7.9W 80MHz
2SC1775A	SI-N 120V 0.05A 0.2W UNI
2SC1781	SI-N 50V 0.5A 0.35W
2SC1815	SI-N 50V 0.15A 0.4W 80MHz
2SC1815BL	SI-N 60V 0.15A 0.4W B>350
2SC1815GR	SI-N 60V 0.15A 0.4W B>200
2SC1815Y	SI-N 60V 0.15A 0.4W B>120
2SC1827	SI-N 100V 4A 30W 10MHz
2SC1832	N-DARL 500V 15A 150W B>10
2SC1841	SI-N 120V 0.05A 0.5W
2SC1844	SI-N 60V 0.1A 0.5W 100MHz
2SC1845	SI-N 120V 0.05A 0.5W
2SC1846	SI-N 120V 0.05A 0.5W
2SC1847	SI-N 50V 1.5A 1.2W
2SC1855	SI-N 20V 20mA 0.25W 550MHz
2SC1871	SI-N 450V 15A 150W <1/3us
2SC1879	N-DARL+D 120V 2A 0.8W B>1
2SC1890	SI-N 90V 0.05A 0.3W 200MHz
2SC1895	SI-N 1500V 6A 50W 2MHz
2SC1906	SI-N 19V 0.05A 0.3W
2SC1907	SI-N 30V 0.05A 1100MHz
2SC1913	SI-N 150V 1A 15W 120MHz
2SC1914	SI-N 90V 50mA 0.2W 150MHz
2SC1921	SI-N 250V 0.05A 0.6W
2SC1922	SI-N 1500V 2.5A 50W
2SC1923	SI-N 30V 20mA 10mW 550MHz
2SC1929	SI-N 300V 0.4A 25W 80MHz
2SC1941	SI-N 160V 50mA 0.8W
2SC1944	SI-N 80V 6A PQ=16W
2SC1945	SI-N 80V 6A 20W
2SC1946A	SI-N 35V 7A 50W
2SC1947	SI-N 35V 1A 4W/175MHz
2SC1953	SI-N 150V 0.05A 1.2W 70MHz
2SC1957	SI-N 40V 1A 1.8W/27MHz
2SC1959	SI-N 30V 0.5A 0.5W 200MHz
2SC1967	SI-N 35V 2A 8W 470MHz
2SC1968	SI-N 35V 5A 3W 470MHz
2SC1969	SI-N 60V 6A 20W
2SC1970	SI-N 40V 0.6A 5W
2SC1971	SI-N 35V 2A 12.5W
2SC1972	SI-N 35V 3.5A 25W
2SC1975	SI-N 120V 2A 3.8W 50MHz
2SC1980	SI-N 120V 20mA 0.25W 200MHz
2SC1984	SI-N 100V 3A 30W B=700
2SC1985	SI-N 80V 6A 40W 10MHz
2SC2023	SI-N 300V 2A 40W 10MHz
2SC2026	SI-N 30V 0.05A 0.25W
2SC2027	SI-N 1500/800V 5A 50W
2SC2036	SI-N 80V 1A PQ=1..4W
2SC2053	SI-N 40V 0.3A 0.6W 500MHz
2SC2055	SI-N 18V 0,3A 0,5W
2SC2058	SI-N 40V 0.05A 0.25W
2SC2060	SI-N 40V 0.7A 0.75W 150MHz
2SC2061	SI-N 80V 1A 0.75W 120MHz
2SC2068	SI-N 300V 0.05A 95MHz
2SC2073	SI-N 150V 1.5A 25W 4MHz
2SC2078	SI-N 80V 3A 10W 150MHz
2SC2086	SI-N 75V 1A 0.45W/27MHz
2SC2092	SI-N 75V 3A 5W 27MHz
2SC2094	SI-N 40V 3.5A PQ>15W 175MHz
2SC2097	SI-N 50V 15A PQ=85W
2SC2120	SI-N 30V 0.8A 0.6W 120MHz
2SC2122	SI-N 800V 10A 50W
2SC2166	SI-N 75V 4A 12.5W RFPOWER
2SC2168	SI-N 200V 2A 30W 10MHz
2SC2200	SI-N 500V 7A 40W 1US
2SC2209	SI-N 50V 1.5A 10W 150MHz
2SC2216	SI-N 45V 50mA 0.3W 300MHz
2SC2228	SI-N 160V 0.05A 0.75W >50
2SC2229	SI-N 200V 50mA 0.8W 120MHz
2SC2230	SI-N 200V 0.1A 0.8W 50MHz
2SC2233	SI-N 200V 4A 40W 8MHz
2SC2235	SI-N 120V 0.8A 0.9W 120MHz
2SC2236	SI-N 30V 1.5A 0.9W 120MHz
2SC2237	SI-N 35V 2A PQ>7.5W 175MHz
2SC2238	SI-N 160V 1.5A 25W 100MHz
2SC2240	SI-N 120V 50mA .3W 100MHz
2SC2261	SI-N 180V 8A 80W 15MHz
2SC2267	SI-N 400/360V 0.1A 0.4W
2SC2270	SI-N 50V 5A 10W 100MHz
2SC2271	SI-N 300V 0.1A 0.9W 50MHz
2SC2275	SI-N 120V 1.5A 25W 200MHz
2SC2283	SI-N 38V 0.75A 2.8W(500MHz
2SC2287	SI-N 38V 1.5A 7.1W 175MHz
2SC2295	SI-N 30V 0.03A 0.2W 250MHz
2SC2307	SI-N 500V 12A 100W 18MHz
2SC2308	SI-N 55V 0.1A 0.2W 230MHz
2SC2310	SI-N 55V 0.1A 0.2W 230MHz
2SC2312	SI-N 60V 6A 18.5W/27MHz
2SC2314	SI-N 45V 1A 5W
2SC2320	SI-N 50V 0,2A 0,3W
2SC2329	SI-N 38V 0.75A 2W 175MHz
2SC2331	SI-N 150V 2A 15W POWER
2SC2333	SI-N 500/400V 2A 40W
2SC2334	SI-N 150V 7A 40W POWER
2SC2335	SI-N 500V 7A 40W POWER
2SC2336B	SI-N 250V 1.5A 25W 95MHz
2SC2344	SI-N 180V 1.5A 25W 120MHz
2SC2347	SI-N 15V 50mA 250mW 650MHz
2SC2362	SI-N 120V 50mA 0.4W 130MHz
2SC2363	SI-N 120V 50mA 0.5W 130MHz
2SC2365	SI-N 600V 6A 50W POWER
2SC2369	SI-N 25V 70mA 0.25W 4.5GHz
2SC2383	SI-N 160V 1A 0.9W 100MHz
2SC2389	SI-N 120V 50mA 0.3W 140MHz
2SC2407	SI-N 35V 0.15A 0.16W 500MHz
2SC2412	SI-N 50V 0.1A 180MHz
2SC2433	SI-N 120V 30A 150W 80MHz
2SC2440	SI-N 450V 5A 40W
2SC2458	SI-N 50V 0.15A 0.2W 80MHz
2SC2466	SI-N 30V 0.05A 2.2GHz
2SC2482	SI-N 300V 0.1A 0.9W 50MHz
2SC2485	SI-N 100V 6A 70W 15MHz
2SC2486	SI-N 120V 7A 80W 15MHz
2SC2491	SI-N 100V 6A 40W 15MHz
2SC2497	SI-N 70V 1.5A 5W 150MHz
2SC2498	SI-N 30V 0.05A 0.3W 3.5GHz
2SC2508	SI-N 40V 6A 50W 175MHz
2SC2510	SI-N 55V 20A 250W(28MHz)
2SC2512	SI-N 30V 50mA 900MHz TUNE
2SC2516	SI-N 150V 5A 30W <0.5/2us
2SC2517	SI-N 150V 5A 30W <0.5/2us
2SC2538	SI-N 40V 0.4A 0.7W
2SC2539	SI-N 35V 4A 17W 175MHz
2SC2542	SI-N 450V 5A 40W
2SC2547	SI-N 120V 0.1A 0.4W
2SC2551	SI-N 300V 0.1A 0.4W 80MHz
2SC2552	SI-N 500V 2A 20W
2SC2553	SI-N 500V 5A 40W 1us
2SC2562	SI-N 60V 5A 25W 0.1us
2SC2563	SI-N 120V 8A 80W 90MHz
2SC2570A	SI-N 25V 70mA 0.6W
2SC2579	SI-N 160V 8A 80W 20MHz
2SC2581	SI-N 200V 10A 100W
2SC2590	SI-N 120V 0.5A 5W 250MHz
2SC2592	SI-N 180V 1A 20W 250MHz
2SC2603	SI-N 50V 0.2A 0.3W
2SC2610	SI-N 300V 0.1A 0.8W 80MHz
2SC2611	SI-N 300V 0.1A 0.8W 80MHz
2SC2621E	SI-N 300V 0.2A 10W >50MHz
2SC2625	SI-N 450V 10A 80W
2SC2630	SI-N 35V 14A 100W
2SC2631	SI-N 150V 50mA 0,75W 160MHz
2SC2632	SI-N 150V 50mA 1W 160MHz
2SC2634	SI-N 60V 0.1A 0.4W 200MHz
2SC2653	SI-N 350V 0.2A 15W >50MHz
2SC2654	SI-N 40V 7A 40W
2SC2655	SI-N 50V 2A 0.9W 0.1us
2SC2656	SI-N 450V 7A 80W <1.5/4.5
2SC2660	SI-N 200V 2A 30W 30MHz
2SC2668	SI-N 30V 20mA 0.1W 550MHz
2SC2671	SI-N 15V 80mA 0.6W 5.5GHz
2SC2682	SI-N 180V 0.1A 8W 180MHz
2SC2690	SI-N 120V 1.2A 20W 160MHz
2SC2694	SI-N 35V 20A 140W
2SC2705	SI-N 150V 50mA 0.8W 200MHz
2SC2706	SI-N 140V 10A 100W 90MHz
2SC2712	SI-N 50V 0.15A 0.15W 80MHz
2SC2714	SI-N 30V 20mA 0.1W 550MHz
2SC2717	SI-N 30V 50mA 0.3W 300MHz
2SC2724	SI-N 30V 30mA 200MHz
2SC2749	SI-N 500V 10A 100W 50MHz
2SC2750	SI-N 150V 15A 100W POWER
2SC2751	SI-N 500V 15A 120W 50MHz
2SC2752	SI-N 500V 0.5A 10W <1/3.5
2SC2753	SI-N 17V 0.07A 0.3W 5GHz
2SC2759	SI-N 30V 50mA 0.2W 2.3GHz
2SC2786	SI-N 20V 20mA 600MHz
2SC2787	SI-N 50V 30mA 0.3W 250MHz
2SC2791	SI-N 900V 5A 100W
2SC2792	SI-N 850V 2A 80W
2SC2793	SI-N 900V 5A 100W
2SC2802	SI-N 300V 0.2A 10W 80MHz
2SC2808	SI-N 100V 50mA 0.5W 140MHz
2SC2810	SI-N 500V 7A 50W 18MHz
2SC2812	SI-N 55V 0.15A 0.2W 100MHz
2SC2814	SI-N 30V 0.03A 320MHz F
2SC2825	SI-N 80V 6A 70W B>500
2SC2837	SI-N 150V 10A 100W 70MHz
2SC2839	SI-N 20V 30mA 0.15W 320MHz
2SC2851	SI-N 36V 0.3A 1W 1.5GHz
2SC2873	SI-N 50V 2A 0.5W 120MHz
2SC2878	SI-N 20V 0.3A 0.4W 30MHz
2SC2879	SI-N 45V 25A PEP=100W 28MHz
2SC2882	SI-N 90V 0.4A 0.5W 100MHz
2SC288A	SI-N 35V 20mA 0.15W
2SC2898	SI-N 500V 8A 50W
2SC2901	SI-N 40V 0.2A 0.6W <12/18
2SC2908	SI-N 200V 5A 50W 50MHz
2SC2910	SI-N 160V 70mA 0.9W 150MHz
2SC2911	SI-N 180V 140mA 10W 150MHz
2SC2912	SI-N 200V 140mA 10W 150MHz
2SC2922	SI-N 180V 17A 200W 50MHz
2SC2923	SI-N 300V 0.1A 140MHz
2SC2928	SI-N 1500V 5A 50W
2SC2939	SI-N 500V 10A 100W 2.5us
2SC2958	SI-N 160V 0.5A 1W
2SC2979	SI-N 800V 3A 40W
2SC2987	SI-N 140V 12A 120W 60MHz
2SC2988	SI-N 36V 0.5A 175MHz
2SC2999	SI-N 20V 30mA 750MHz
2SC3001	SI-N 20V 3A PQ=7W(175MHz)
2SC3019	SI-N 35V 0.4A 0.6W 520MHz
2SC3020	SI-N 35V 1A 10W
2SC3022	SI-N 35V 7A 50W
2SC3026	SI-N 1700V 5A 50W POWER
2SC3030	N-DARL 900V 7A 80W
2SC3039	SI-N 500V 7A 52W
2SC3042	SI-N 500/400V 12A 100W
2SC3052F	SI-N 50V 0.2A 0.15W 200MHz
2SC3063	SI-N 300V 0.1A 1.2W 140MHz
2SC3067	2xSI-N 130V 50mA 0.5W 160
2SC3068	SI-N 30V 0.3A Ueb=15V B>8
2SC3071	SI-N 120V 0.2A Ueb=15V B>
2SC3073	SI-N 30V 3A 15W 100MHz
2SC3074	SI-N 60V 5A 20W 120MHz
2SC3075	SI-N 500V 0.8A 10W 1/1.5us
2SC3089	SI-N 800V 7A 80W
2SC3101	SI-N 250V 30A 200W 25MHz
2SC3102	SI-N 35V 18A 170W 520MHz
2SC3112	SI-N 50V 0.15A 0.4W 100MHz
2SC3116	SI-N 180V 0.7A 10W 120MHz
2SC3117	SI-N 180V 1.5A 10W 120MHz
2SC3133	SI-N 60V 6A 1.5W 27MHz
2SC3148	SI-N 900V 3A 40W 1us
2SC3150	SI-N 900V 3A 50W 15MHz
2SC3153	SI-N 900V 6A 100W
2SC3157	SI-N 150V 10A 60W
2SC3158	SI-N 500V 7A 60W
2SC3164	SI-N 500V 10A 100W
2SC3169	SI-N 500V 2A 25W >8MHz
2SC3175	SI-N 400V 7A 50W 40MHz
2SC3178	SI-N 1200V 2A 60W
2SC3179	SI-N 60V 4A 30W 15MHz
2SC3180N	SI-N 80V 6A 60W 30MHz
2SC3181N	SI-N 120V 8A 80W 30MHz
2SC3182N	SI-N 140V 10A 100W 30MHz
2SC3195	SI-N 30V 20mA 0.1W 550MHz
2SC3199	SI-N 60V 0.15A 0.2W 130MHz
2SC3200	SI-N 120V 0.1A 0.3W 100MHz
2SC3202	SI-N 35V 0.5A 0.5W 300MHz
2SC3203	SI-N 35V 0.8A 0.6W 120MHz
2SC3205	SI-N 30V 2A 1W 120MHz
2SC3206	SI-N 150V 0.5A 0.8W 120MHz
2SC3210	SI-N 500V 10A 100W 1us
2SC3211	SI-N 800V 5A 70W >3MHz
2SC3212	SI-N 800V 7A 3W 3.5MHz
2SC3225	SI-N 40V 2A 0.9W 1us
2SC3231	SI-N 200V 4A 40W 8MHz
2SC3240	SI-N 50V 25A 110W 30MHz
2SC3242	SI-N 20V 2A 0.9W 80MHz
2SC3244E	SI-N 100V 0.5A 0.9W 130MHz
2SC3245A	SI-N 150V 0.1A 0.9W 200MHz
2SC3246	SI-N 30V 1.5A 0.9W 130MHz
2SC3247	SI-N 50V 1A .9W 130MHz B>
2SC3257	SI-N 250V 10A 40W 1/3.5us
2SC3258	SI-N 100V 5A 30W 120MHz
2SC3260	N-DARL 800V 3A 50W B>10
2SC3262	N-DARL 800V 10A 100W
2SC3263	SI-N 230V 15A 130W
2SC3264	SI-N 230V 17A 200W 60MHz
2SC3271	SI-N 300V 1A 5W 80MHz
2SC3277	SI-N 500V 10A 90W 20MHz
2SC3279	SI-N 10V 2A 0.75W 150MHz
2SC3280	SI-N 160V 12A 120W 30MHz
2SC3281	SI-N 200V 15A 150W 30MHz
2SC3284	SI-N 150V 14A 125W 60MHz
2SC3293	N-DARL+D 50V 1.2A 20W 180
2SC3297	SI-N 30V 3A 15W 100MHz
2SC3299	SI-N 60V 5A 20W 0.1us
2SC3300	SI-N 100V 15A 100W
2SC3303	SI-N 100V 5A 20W 0.2us
2SC3306	SI-N 500V 10A 100W 1us
2SC3307	SI-N 900V 10A 150W 1us
2SC3309	SI-N 500V 2A 20W 1us
2SC3310	SI-N 500V 5A 30W 1us
2SC3311	SI-N 60V 0.1A 0.3W 150MHz
2SC3320	SI-N 500V 15A 80W
2SC3326	SI-N 20V 0.3A 0.15W 30MHz
2SC3327	SI-N 50V 0.3A 0.2W 30MHz
2SC3328	SI-N 80V 2A 0.9W 100MHz
2SC3330	SI-N 60V 0.2A 0.3W 200MHz
2SC3331	SI-N 60V 0.2A 0.5W 200MHz
2SC3332	SI-N 180V 0.7A 0.7W 120MHz
2SC3334	SI-N 250V 50mA 0.9W 100MHz
2SC3345	SI-N 60V 12A 40W 90MHz
2SC3346	SI-N 80V 12A 40W 0.2us
2SC3355	SI-N 20V 0.1A 0.6W 6.5GHz
2SC3356	SI-N 20V 0.1A 0.2W 7GHz
2SC3377	SI-N 40V 1A 0.6W 150MHz
2SC3378	SI-N 120V 0.1A 0.2W 100MHz
2SC3379	SI-N 20V 1.5A PQ=3W
2SC3381	2xSI-N 80V 0.1A 0.4W 170MHz
2SC3383	SI-N 60V 0.2A 0.5W 250MHz
2SC3397	SI-N 50V 0.1A 250MHz 46K/
2SC3399	SI-N 50V 0.1A 250MHz
2SC3400	SI-N 50V 0.1A 250MHz 22K/
2SC3401	SI-N 50V .1A 46K/23KOHM
2SC3402	SI-N 50V 0.1A 250MHz 10K/
2SC3405	SI-N 900V 0.8A 20W 1us
2SC3409	SI-N 900V 2A 80W .8uS
2SC3416	SI-N 200V 0.1A 5W 70MHz
2SC3419	SI-N 40V 0.8A 5W 100MHz
2SC3420	SI-N 50V 5A 10W 100MHz
2SC3421O	SI-N 120V 1A 1.5W BJT O-G
2SC3421Y	SI-N 120V 1A 10W 120MHz
2SC3422Y	SI-N 40V 3A 10W 100MHz
2SC3423	SI-N 150V 50mA 5W 200MHz
2SC3425	SI-N 500V 0.8A 10W
2SC3446	SI-N 800V 7A 40W 18MHz
2SC3447	SI-N 800V 5A 50W 18MHz
2SC3456	SI-N 1100/800V 1.5A 40W
2SC3457	SI-N 1100V 3A 50W
2SC3460	SI-N 1100V 6A 100W
2SC3461	SI-N 1100/800V 8A 120W
2SC3466	SI-N 1200/650V 8A 120W
2SC3467	SI-N 200V 0.1A 1W 150MHz
2SC3468	SI-N 300V 0.1A 1W 150MHz
2SC3486	SI-N 1500V 6A 120W
2SC3502	SI-N 200V 0.1A 1.2W
2SC3503	SI-N 300V 0.1A 7W 150MHz
2SC3504	SI-N 70V 0.05A 0.9W 500MHz
2SC3505	SI-N 900V 6A 80W
2SC3507	SI-N 1000/800V 5A 80W
2SC3509	N-DARL+D 900V 10A 100W 0.
2SC3514	SI-N 180V 0.1A 10W 200MHz
2SC3518	SI-N 60V 5A 10W
2SC3520	SI-N 500V 18A 130W 18MHz
2SC3526	SI-N 110V 0.15A 7A 30W 1us
2SC3528	SI-N 500V 20A 125W
2SC3549	SI-N 900V 3A 40W
2SC3552	SI-N 1100V 12A 150W 15MHz
2SC3568	SI-N 150V 10A 30W
2SC3571	SI-N 500V 7A 30W
2SC3577	SI-N 850V 5A 80W 6MHz
2SC3581	SI-N 55V 0.4A 0.9W 150MHz
2SC3591	SI-N 400V 7A 50W
2SC3595	SI-N 30V 0.5A 5W 2GHz
2SC3596	SI-N 80V 0.3A 8W 700MHz
2SC3597	SI-N 80V 0.5A 10W 800MHz
2SC3599	SI-N 120V 0.3A 8W 500MHz
2SC3600	SI-N 200V 0.1A 7W 400MHz
2SC3601	SI-N 200V 0.15A 7W 400MHz
2SC3608	SI-N 20V 0.08A 6.5GHz
2SC3611	SI-N 50V 0.15A 4W 300MHz
2SC3616	SI-N 25V 0.7A 250MHz
2SC3621	SI-N 150V 1.5A 10W 100MHz
2SC3623	SI-N 60V 0.15A 0.25W B=1K
2SC3632	SI-N 600V 1A 10W 30MHz
2SC3636	SI-N 900/500V 7A 80W
2SC3642	SI-N 1200V 6A 100W 200ns
2SC3655	SI-N 50V 0.1A 0.4W 46/23K
2SC3656	SI-N 50V 0.1A 0.4W 10K/10
2SC3659	SI-N+D 1700/800V 5A 50W
2SC3668	SI-N 50V 2A 1W 100MHz
2SC3669	SI-N 80V 2A 1W 0.2us
2SC3675	SI-N 1500/900V 0.1A 10W
2SC3678	SI-N 900V 3A 80W
2SC3679	SI-N 900/800V 5A 100W
2SC3680	SI-N 900/800V 7A 120W 6MHz
2SC3684	SI-N+D 1500V 10A 150W
2SC3688	SI-N 1500V 10A 150W 0.2us
2SC3692	SI-N 100V 7A 30W <300/180
2SC373	SI-N 35V 0.1A 0.2W B>200
2SC3746	SI-N 80V 5A 20W 100MHz
2SC3748	SI-N 80V 10A 30W 100/600ns
2SC3752	SI-N 1100/800V 3A 30W
2SC3781	SI-N 120V 0.4A 15W 500MHz
2SC3782	SI-N 200V 0.2A 15W 400MHz
2SC3783	SI-N 800V 5A 100W
2SC3787	SI-N 180V 0.14A 10W 150MHz
2SC3788	SI-N 200V 0.1A 5W 150MHz
2SC3789	SI-N 300V 0.1A 7W 70MHz
2SC3790	SI-N 300V 0.1A 7W 150MHz
2SC3792	SI-N 50V 0.5A 0.5W 250MHz
2SC3795A	SI-N 900V 5A 40W
2SC3807	SI-N 30V 2A 15W 260MHz
2SC3808	N-DARL 80V 2A 170MHz B>80
2SC380TM	SI-N 30V 50mA 0.3W 100MHz
2SC3811	SI-N 40V 0.1A 0.4W 450MHz
2SC3831	SI-N 500V 10A 100W
2SC3833	SI-N 500/400V 12A 100W
2SC3842	SI-N 600V 10A 70W 32MHz
2SC3844	SI-N 600V 15A 75W 30MHz
2SC3851	SI-N 80V 4A 25W 15MHz
2SC3852	SI-N 80V 3A 25W 15MHz
