Liste de la plupart des diodes utilisées :

Reference:	Description:
1N2763	SI-D 800V 3A
1N2764	SI-D 1200V 3A
1N2772	SI-D 700V 0.75A
1N2773	SI-D 800V 0.75A
1N2774	SI-D 900V 0.75A
1N2775	SI-D 1000V 0.75A
1N2776	SI-D 1100V 0.75A
1N2777	SI-D 1200V 0.75A
1N2778	SI-D 1300V 0.75A
1N2779	SI-D 1400V 0.75A
1N2780	SI-D 1500V 0.75A
1N2781	SI-D 1600V 0.75A
1N2784	SI-D 200V 22A
1N2785	SI-D 400V 22A
1N2786	SI-D 200V 10A
1N2787	SI-D 400V 10A
1N2788	SI-D 200V 50A
1N2789	SI-D 400V 50A
1N2793	SI-D 50V 8.5A
1N2794	SI-D 100V 8.5A
1N2795	SI-D 150V 8.5A
1N2796	SI-D 200V 8.5A
1N2797	SI-D 250V 8.5A
1N2798	SI-D 300V 8.5A
1N2799	SI-D 350V 8.5A
1N2800	SI-D 400V 8.5A
1N2801	GE-D 20V <500ns
1N2865	SI-D 1000V 0.7A
1N2866	SI-D 1500V 0.7A
1N2867	SI-D 1000V 0.7A
1N2868	SI-D 1500V 0.7A
1N2878	SI-D 700V 0.25A
1N2879	SI-D 1000V 0.25A
1N2880	SI-D 1000V 0.25A
1N2881	SI-D 1000V 0.25A
1N2882	SI-D 1000V 0.25A
1N2883	SI-D 1000V 0.25A
1N2884	SI-D 1400V 0.25A
1N2885	SI-D 1400V 0.25A
1N2886	SI-D 1500V 0.25A
1N2887	SI-D 1500V 0.25A
1N2888	SI-D 1700V 0.25A
1N2889	SI-D 1700V 0.25A
1N2890	SI-D 2000V 0.25A
1N2891	SI-D 2000V 0.25A
1N2892	SI-D 2100V 0.25A
1N2893	SI-D 2100V 0.25A
1N2894	SI-D 2400V 0.25A
1N2895	SI-D 2400V 0.25A
1N2896	SI-D 2500V 0.25A
1N2897	SI-D 2500V 0.25A
1N2898	SI-D 2800V 0.25A
1N2899	SI-D 2800V 0.25A
1N2900	SI-D 3000V 0.25A
1N2901	SI-D 3000V 0.25A
1N2902	SI-D 3100V 0.25A
1N2903	SI-D 3100V 0.25A
1N2904	SI-D 3500V 0.25A
1N2905	SI-D 3500V 0.25A
1N2906	SI-D 3500V 0.25A
1N2907	SI-D 3500V 0.25A
1N2908	SI-D 3800V 0.25A
1N2909	SI-D 3800V 0.25A
1N2910	SI-D 4000V 0.25A
1N2911	SI-D 4000V 0.25A
1N2912	SI-D 4200V 0.25A
1N2913	SI-D 4200V 0.25A
1N2914	SI-D 4500V 0.25A
1N2915	SI-D 4500V 0.25A
1N2916	SI-D 4500V 0.25A
1N2917	SI-D 4500V 0.25A
1N2918	SI-D 5000V 0.25A
1N2919	SI-D 5000V 0.25A
1N2920	SI-D 5500V 0.25A
1N2921	SI-D 5500V 0.25A
1N2922	SI-D 6000V 0.25A
1N2923	SI-D 6000V 0.25A
1N2924	SI-D 6500V 0.25A
1N2925	SI-D 6500V 0.25A
1N3052	SI-D 12KV 0.1A
1N3053	SI-D 14KV 0.1A
1N3054	SI-D 16KV 0.1A
1N3055	SI-D 18KV 0.1A
1N3056	SI-D 20KV 0.1A
1N3057	SI-D 22KV 0.1A
1N3058	SI-D 24KV 0.1A
1N3059	SI-D 26KV 0.1A
1N3060	SI-D 28KV 0.1A
1N3061	SI-D 30KV 0.1A
1N3062	SI-D 50V 0.075A <4ns
1N3063	SI-D 50V 0.075A <4ns
1N3064	SI-D 50V 0.075A <4ns
1N3065	SI-D 50V 0.115A <4ns
1N3066	SI-D 50V 0.115A <2ns
1N3067	SI-D 30V 0.115A <4ns
1N3068	SI-D 30V 0.075A <50ns
1N3069	SI-D 65V 0.225A <50ns
1N3070	SI-D 200V 0.15A <50ns
1N3071	SI-D 200V 0.225A <50ns
1N3072	SI-D 50V 0.2A
1N3073	SI-D 100V 0.2A
1N3074	SI-D 150V 0.2A
1N3075	SI-D 200V 0.2A
1N3076	SI-D 250V 0.2A
1N3077	SI-D 300V 0.2A
1N3078	SI-D 350V 0.2A
1N3079	SI-D 400V 0.2A
1N3080	SI-D 500V 0.2A
1N3081	SI-D 600V 0.2A
1N3082	SI-D 200V 0.5A
1N3083	SI-D 400V 0.5A
1N3084	SI-D 600V 0.5A
1N3097	GE-D 30V 0.05A <500ns
1N3106	SI-D 800V 0.75A
1N3107	SI-D 1200V 0.5A
1N3108	SI-D 800V 1.5A
1N3109	SI-D 1200V 0.7A
1N3110	GE-D 12V 0.05A
1N3113	GaAs-D tunnel diode
1N3114	GaAs-D tunnel diode
1N3115	GaAs-D tunnel diode
1N3116	GaAs-D tunnel diode
1N3117	GaAs-D tunnel diode
1N3118	GaAs-D tunnel diode
1N3119	GaAs-D tunnel diode
1N3120	GaAs-D tunnel diode
1N3121	GE-D 50V 0.11A <500ns
1N3122	GE-D 20V 0.18A <3500ns
1N3123	SI-D 40V 0.05A <4ns
1N3124	SI-D 40V 0.05A <4ns
1N3125	GE-D 55V 300ns
1N3128	GE-D tunnel diode
1N3129	GE-D tunnel diode
1N3130	GE-D tunnel diode
1N3138	GaAs-D tunnel diode
1N3139	SI-D 50V 70A
1N3140	SI-D 100V 70A
1N3141	SI-D 150V 70A
1N3142	SI-D 200V 70A
1N3144	GE-D 20V 500ns
1N3145	GE-D 65V
1N3146	GE-D 25V <2ns
1N3150	GE-D tunnel diode
1N3151	SI-D 7.2KV 0.1A
1N3152	SI-D UHF 36GHz
1N3153	SI-D UHF 36GHz
1N3159	GE-D 15V 0.08A <300ns
1N3160	GE-D 60V 0.03A
1N3179	SI-D 240V Uni
1N3180	SI-D 130V Uni
1N3182	SI-D VHF-tunung
1N3189	SI-D 200V 1A
1N3190	SI-D 400V 1A
1N3191	SI-D 600V 1A
1N3193	SI-D 200V 0.75A
1N3194	SI-D 400V 0.75A
1N3195	SI-D 600V 0.75A
1N3196	SI-D 800V 0.75A
1N3197	GE-D 30V 0.08A <300ns
1N3203	GE-D 25V 0.06A 300ns
1N3204	GE-D 60V 0.06A 300ns
1N3206	SI-D 100V 0.075A <4ns
1N3207	SI-D 60V <6ns
1N3208	SI-D 50V 15A
1N3209	SI-D 100V 15A
1N3210	SI-D 200V 15A
1N3211	SI-D 300V 15A
1N3212	SI-D 400V 15A
1N3213	SI-D 500V 15A
1N3214	SI-D 600V 15A
1N3215	SI-D 60V <250ns
1N3217	GE-D tunnel diode
1N3218	GE-D tunnel diode
1N3219	GE-D tunnel diode
1N3220	GE-D tunnel diode
1N3221	GE-D tunnel diode
1N3222	GE-D tunnel diode
1N3225	GE-D 40V 0.03A <500ns
1N3227	SI-D 100V 0.5A
1N3228	SI-D 200V 0.5A
1N3229	SI-D 400V 0.5A
1N3230	SI-D 600V 0.5A
1N3231	SI-D 800V 0.5A
1N3232	SI-D 1000V 0.5A
1N3233	SI-D 1200V 0.5A
1N3234	SI-D 1500V 0.5A
1N3235	SI-D 1800V 0.5A
1N3236	SI-D 2000V 0.5A
1N3237	SI-D 50V 0.75A
1N3238	SI-D 100V 0.75A
1N3239	SI-D 200V 0.75A
1N3240	SI-D 400V 0.75A
1N3241	SI-D 600V 0.75A
1N3242	SI-D 800V 0.75A
1N3243	SI-D 1000V 0.75A
1N3244	SI-D 1200V 0.75A
1N3245	SI-D 1500V 0.75A
1N3246	SI-D 50V 1A
1N3247	SI-D 100V 1A
1N3248	SI-D 200V 1A
1N3249	SI-D 400V 1A
1N3250	SI-D 600V 1A
1N3251	SI-D 800V 1A
1N3252	SI-D 1000V 1A
1N3253	SI-D = 1N3193 ISO
1N3254	SI-D = 1N3194 ISO
1N3255	SI-D = 1N3195 ISO
1N3256	SI-D = 1N3196 ISO
1N3257	SI-D 80V <3ns
1N3258	SI-D 80V <4ns
1N3277	SI-D 200V 0.75A
1N3278	SI-D 400V 0.75A
1N3279	SI-D 600V 0.75A
1N3280	SI-D 800V 0.75A
1N3281	SI-D 1000V 0.75A
1N3282	SI-D 1000V 0.1A
1N3283	SI-D 1500V 0.1A
1N3284	SI-D 2000V 0.1A
1N3285	SI-D 2500V 0.1A
1N3286	SI-D 3000V 0.1A
1N3298	SI-D 60V 0.3A
1N3298A	SI-D 70V 0.3A
1N3354	SI-D 10V 3A
1N3355	SI-D 15V 3A
1N3356	SI-D 25V 3A
1N3357	SI-D 50V 3A
1N3358	SI-D 75V 3A
1N3359	SI-D 100V 3A
1N3360	SI-D 150V 3A
1N3361	SI-D 200V 3A
1N3362	SI-D 300V 3A
1N3363	SI-D 400V 3A
1N3364	SI-D 500V 3A
1N3365	SI-D 600V 3A
1N3366	SI-D 700V 3A
1N3367	SI-D 800V 3A
1N3368	SI-D 900V 3A
1N3369	SI-D 1000V 3A
1N3370	SI-D 1200V 3A
1N3371	SI-D 1500V 3A
1N3372	SI-D 10V 20A
1N3373	SI-D 25V 20A
1N3374	SI-D 50V 20A
1N3375	SI-D 100V 20A
1N3376	SI-D 150V 20A
1N3377	SI-D 200V 20A
1N3378	SI-D 300V 20A
1N3379	SI-D 400V 20A
1N3380	SI-D 500V 20A
1N3464	SI-D 12KV 0.06A
1N3465	GE-D 60V 75mA Uni
1N3466	GE-D 40V 75mA Uni
1N3467	GE-D 18V <2ns
1N3468	GE-D 18V <2ns
1N3469	GE-D 35V 85mA
1N3470	GE-D 35V 85mA
1N3471	SI-D 40V 0.04A <2ns
1N3485	SI-D 175V <50ns
1N3486	SI-D 1000V 0.4A
1N3487	SI-D 1200V 0.4A
1N3488	SI-D VHF-tuning
1N3491	SI-D 50V 25A
1N3492	SI-D 100V 25A
1N3493	SI-D 200V 25A
1N3494	SI-D 300V 25A
1N3495	SI-D 400V 25A
1N3544	SI-D 100V 0.6A
1N3545	SI-D 200V 0.6A
1N3546	SI-D 300V 0.6A
1N3547	SI-D 400V 0.6A
1N3548	SI-D 500V 0.6A
1N3549	SI-D 600V 0.6A
1N3550	SI-D 180V 0.08A <1.5us
1N3551	SI-D VHF-tuning
1N3554	SI-D VHF-tuning
1N3555	SI-D VHF-tuning
1N3556	SI-D VHF-tuning
1N3557	SI-D VHF-tuning
1N3560	GE-D tunnel diode
1N3561	GE-D tunnel diode
1N3562	GE-D tunnel diode
1N3563	SI-D 1000V 0.4A
1N3566	SI-D 800V 1A
1N3567	SI-D 75V 0.06A <2ns
1N3568	SI-D 80V <4ns
1N3569	SI-D 100V 3.5A
1N3570	SI-D 200V 3.5A
1N3571	SI-D 300V 3.5A
1N3572	SI-D 400V 3.5A
1N3573	SI-D 500V 3.5A
1N3574	SI-D 600V 3.5A
1N3575	SI-D 60V 0.15A
1N3576	SI-D 125V 0.15A
1N3577	SI-D 175V 0.15A
1N3578	SI-D 225V 0.15A
1N3579	SI-D 275V 0.15A
1N3592	GE-D 30V 0.05A <70ns
1N3593	SI-D 40V 0.05A 10ns
1N3594	SI-D 60V 6ns
1N3595	SI-D 150V 0.1A <3us
1N3596	SI-D 20V 0.075A <4ns
1N3597	SI-D 200V 0.275A <300ns
1N3598	SI-D 50V 0.075A <4ns
1N3599	SI-D 150V <50ns
1N3600	SI-D 50V 0.2A <4ns
1N3601	SI-D 75V <5ns
1N3602	SI-D 75V 0.115A <5ns
1N3603	SI-D 45V 0.115A <5ns
1N3604	SI-D = 1N4151
1N3605	SI-D = 1N4152
1N3606	SI-D = 1N4153
1N3607	SI-D = 1N4151 Min
1N3608	SI-D = 1N4152 Min
1N3609	SI-D = 1N4153 Min
1N3615	SI-D 50V 16A
1N3616	SI-D 100V 16A
1N3617	SI-D 150V 16A
1N3618	SI-D 200V 16A
1N3619	SI-D 300V 16A
1N3620	SI-D 400V 16A
1N3621	SI-D 500V 16A
1N3622	SI-D 600V 16A
1N3623	SI-D 800V 16A
1N3624	SI-D 1000V 16A
1N3625	SI-D 200V 0.15A
1N3626	GE-D 50V Uni
1N3627	SI-D VHF-tuning
1N3628	SI-D VHF-tuning
1N3629	SI-D 100V 0.75A
1N3630	SI-D 200V 0.75A
1N3631	SI-D 300V 0.75A
1N3632	SI-D 400V 0.75A
1N3633	SI-D 500V 0.75A
1N3634	SI-D 600V 0.75A
1N3635	SI-D 700V 0.75A
1N3636	SI-D 800V 0.75A
1N3637	SI-D 900V 0.75A
1N3638	SI-D 1000V 0.75A
1N3639	SI-D 200V 0.75A
1N3640	SI-D 400V 0.75A
1N3641	SI-D 600V 0.75A
1N3642	SI-D 800V 0.75A
1N3643	SI-D 1000V 0.25A
1N3644	SI-D 1500V 0.25A
1N3645	SI-D 2000V 0.25A
1N3646	SI-D 2500V 0.25A
1N3647	SI-D 3000V 0.25A
1N3648	SI-D 10KV 0.35A
1N3649	SI-D 800V 3.3A
1N3650	SI-D 1000V 3.3A
1N3653	SI-D 100V <4ns
1N3654	SI-D 100V <4ns
1N3656	SI-D 200V 0.75A
1N3657	SI-D 400V 0.75A
1N3658	SI-D 600V 0.75A
1N3659	SI-D 50V 30A
1N3660	SI-D 100V 30A
1N3661	SI-D 200V 30A
1N3662	SI-D 300V 30A
1N3663	SI-D 400V 30A
1N3664	SI-D 500V 30A
1N3665	SI-D 600V 30A
1N3666	GE-D 80V 0.07A <300ns
1N3667	SI-D 500V 1.5A
1N3668	SI-D 30V 0.075A <150ns
1N3669	SI-D 70V 0.4A <200ns
1N3711	SI-D 6KV 0.15A
1N3712	GE-D tunnel diode
1N3713	GE-D tunnel diode
1N3714	GE-D tunnel diode
1N3715	GE-D tunnel diode
1N3716	GE-D tunnel diode
1N3717	GE-D tunnel diode
1N3718	GE-D tunnel diode
1N3719	GE-D tunnel diode
1N3720	GE-D tunnel diode
1N3721	GE-D tunnel diode
1N3723	SI-D 1000V 0.75A
1N3724	SI-D 1200V 0.75A
1N3725	SI-D 1400V 0.75A
1N3726	SI-D 1600V 0.75A
1N3727	SI-D 1800V 0.75A
1N3728	SI-D 550V 0.2A
1N3729	SI-D 600V <500ns
1N3730	SI-D 80V <15ns
1N3731	SI-D 100V 0.175A <3ns
1N3748	SI-D 200V 0.5A
1N3749	SI-D 400V 0.5A
1N3750	SI-D 600V 0.5A
1N3751	SI-D 800V 0.5A
1N3752	SI-D 1000V 0.5A
1N3754	SI-D 100V 0.125A
1N3755	SI-D 200V 0.125A
1N3756	SI-D 400V 0.125A
1N3757	SI-D 200V 1A
1N3758	SI-D 400V 1A
1N3759	SI-D 600V 1A
1N3760	SI-D 800V 1A
1N3761	SI-D 1000V 1A
1N3762	SI-D 7.5KV 0.065A
1N3764	SI-D 3KV 0.4A
1N3765	SI-D 700V 35A
1N3766	SI-D 800V 35A
1N3767	SI-D 900V 35A
1N3768	SI-D 1000V 35A
1N3769	GE-D 90V Uni
1N3770	SI-D UHF-tuning
1N3773	GE-D 25V <40ns
1N3775	SI-D 1500V 3.3A
1N3777	SI-D 800V 35A
1N3847	GE-D tunnel diode
1N3848	GE-D tunnel diode
1N3849	GE-D tunnel diode
1N3850	GE-D tunnel diode
1N3851	GE-D tunnel diode
1N3852	GE-D tunnel diode
1N3853	GE-D tunnel diode
1N3854	GE-D tunnel diode
1N3855	GE-D tunnel diode
1N3856	GE-D tunnel diode
1N3857	GE-D tunnel diode
1N3858	GE-D tunnel diode
1N3859	GE-D tunnel diode
1N3860	GE-D tunnel diode
1N3861	GE-D tunnel diode
1N3862	GE-D tunnel diode
1N3863	GE-D tunnel diode
1N3864	SI-D 125V <900ns
1N3865	GE-D 80V Uni
1N3866	SI-D 200V 1A
1N3867	SI-D 400V 1A
1N3868	SI-D 600V 1A
1N3869	SI-D 1000V 0.5A
1N3870	SI-D 1500V 0.5A
1N3871	SI-D 2000V 0.25A
1N3872	SI-D 90V <15ns
1N3873	SI-D 90V 0.15A <4ns
1N3874	SI-D = 1N3879 ISO
1N3875	SI-D = 1N3880 ISO
1N3876	SI-D = 1N3881 ISO
1N3877	SI-D = 1N3882 ISO
1N3878	SI-D = 1N3883 ISO
1N3884	SI-D = 1N3889 ISO
1N3885	SI-D = 1N3890 ISO
1N3886	SI-D = 1N3891 ISO
1N3887	SI-D = 1N3892 ISO
1N3888	SI-D = 1N3893 ISO
1N3894	SI-D 400V 0.4A
1N3895	SI-D 350V 0.4A
1N3899	SI-D 50V 20A <200ns
1N3900	SI-D 100V 20A <200ns
1N3901	SI-D 200V 20A <200ns
1N3902	SI-D 300V 20A <200ns
1N3903	SI-D 400V 20A <200ns
1N3904	SI-D 50V 20A <200ns ISO
1N3905	SI-D 100V 20A <200ns ISO
1N3906	SI-D 200V 20A <200ns ISO
1N3907	SI-D 300V 20A <200ns ISO
1N3908	SI-D 400V 20A <200ns ISO
1N3909	SI-D 50V 30A <200ns
1N3910	SI-D 100V 30A <200ns
1N3911	SI-D 200V 30A <200ns
1N3912	SI-D 300V 30A <200ns
1N3913	SI-D 400V 30A <200ns
1N3914	SI-D 50V 30A <200ns ISO
1N3915	SI-D 100V 30A <200ns ISO
1N3916	SI-D 200V 30A <200ns ISO
1N3917	SI-D 300V 30A <200ns ISO
1N3918	SI-D 400V 30A <200ns ISO
1N3919	SI-D 1000V 5A
1N3920	SI-D 1500V 5A
1N3921	SI-D 2000V 5A
1N3922	SI-D 2500V 5A
1N3923	SI-D 3000V 5A
1N3924	SI-D 1000V 10A
1N3925	SI-D 1500V 10A
1N3926	SI-D 2000V 10A
1N3927	SI-D 2500V 10A
1N3928	SI-D 3000V 10A
1N3929	SI-D 1000V 1A
1N3930	SI-D 1500V 1A
1N3931	SI-D 2000V 1A
1N3932	SI-D 2500V 1A
1N3933	SI-D 3000V 1A
1N3934	SI-D 1200V 10A
1N3938	SI-D 200V 2A
1N3939	SI-D 400V 2A
1N3940	SI-D 600V 2A
1N3941	SI-D 800V 2A
1N3942	SI-D 100V 2A/30Ap
1N3944	GE-D 15V <12ns
1N3945	SI-D VHF-tuning
1N3946	SI-D VHF-tuning
1N3947	SI-D VHF-tuning
1N3948	SI-D Tunnel diode
1N3952	SI-D 130V 0.2A
1N3953	GE-D 40V <300ns
1N3954	SI-D 50V <4ns
1N3955	SI-D 100V 70A
1N3956	SI-D 30V 2ns
1N3964	SI-D 200V 22A
1N3965	SI-D 400V 22A
1N3966	SI-D 600V 22A
1N3967	SI-D 800V 22A
1N3968	SI-D 200V 50A
1N3969	SI-D 400V 50A
1N3970	SI-D 600V 50A
1N3971	SI-D 800V 50A
1N3981	SI-D 200V 3A
1N3982	SI-D 400V 3A
1N3983	SI-D 600V 3A
1N3987	SI-D 700V 6A
1N3988	SI-D 800V 6A
1N3989	SI-D 900V 6A
1N3990	SI-D 1000V 6A
1N4001	SI-D 50V 1A/50Ap
1N4002	SI-D 100V 1A/50Ap
1N4003	SI-D 200V 1A/50Ap
1N4004	SI-D 400V 1A/50Ap
1N4005	SI-D 600V 1A/50Ap
1N4006	SI-D 800V 1A/50Ap
1N4007	SI-D 1000V 1A/50Ap
1N4008	GE-D 12V 0.1A <70ns
1N4009	SI-D 35V 0.1A <4ns
1N4011	SI-D 1000V 0.5A
1N4012	SI-D 700V 12A
1N4013	SI-D 800V 12A
1N4014	SI-D 900V 12A
1N4015	SI-D 1000V 12A
1N4043	SI-D 25V <4ns
1N4086	SI-D 70V <200ns
1N4087	SI-D 50V <2.5ns
1N4088	GE-D 30V Uni
1N4089	SI-D 400V 1.1A
1N4090	GE-D Tunnel diode
1N4091	SI-D UHF-tuning
1N4092	SI-D 50V Uni
1N4093	SI-D 50V Uni
1N4139	SI-D 50V 3A
1N4140	SI-D 100V 3A
1N4141	SI-D 200V 3A
1N4142	SI-D 400V 3A
1N4143	SI-D 600V 3A
1N4144	SI-D 800V 3A
1N4145	SI-D 1000V 3A
1N4146	SI-D 1200V 3A
1N4148	SI-D 100V 0.2A <4ns
1N4149	SI-D 100V 0.2A <4ns
1N4150	SI-D 50V 0.2A <4ns
1N4151	SI-D 75V 0.2A <4ns
1N4152	SI-D 40V 0.2A <4ns
1N4153	SI-D 75V 0.2A <4ns
1N4154	SI-D 35V 0.2A <4ns
1N4155	SI-D 400V 0.2A <10us
1N4244	SI-D 10V 0.05A <0.75ns
1N4250	SI-D 800V 0.5A
1N4251	SI-D 1000V 0.5A
1N4252	SI-D 1200V 0.5A
1N4253	SI-D 1500V 0.5A
1N4254	SI-D 1500V 0.25A
1N4255	SI-D 2000V 0.25A
1N4256	SI-D 2500V 0.25A
1N4257	SI-D 3000V 0.25A
1N4305	SI-D 75V 0.1A <4ns
1N4308	SI-D 100V <2ns
1N4309	SI-D 50V <2ns
1N4310	SI-D 75V <2ns
1N4311	SI-D 100V <2ns
1N4312	SI-D 150V <2ns
1N4313	SI-D 100V <2ns
1N4314	SI-D 100V <2ns Min
1N4315	SI-D 50V <2ns Min
1N4316	SI-D 75V <2ns Min
1N4317	SI-D 100V <2ns Min
1N4318	SI-D 150V <2ns Min
1N4319	SI-D 100V <2ns Min
1N4322	SI-D 75V <6ns
1N4361	SI-D 900V 0.5A
1N4363	SI-D 120V 0.1A <40ns
1N4364	SI-D 100V 0.75A
1N4365	SI-D 200V 0.75A
1N4366	SI-D 300V 0.75A
1N4367	SI-D 400V 0.75A
1N4368	SI-D 500V 0.75A
1N4369	SI-D 600V 0.75A
1N4373	SI-D 80V 4ns
1N4374	SI-D 1500V 0.75A
1N4375	SI-D 60V <6ns
1N4376	SI-D 10V 0.05A <6ns
1N4377	SI-D 2.5KV 0.75A
1N4380	SI-D 50V 0.05A <1.8ns
1N4381	GE-D 25V <100ns
1N4382	SI-D 55V <5.5ns
1N4390	SI-D 20V <0.5ns
1N4391	SI-D 20V <0.5ns
1N4392	SI-D 15V <0.5ns
1N4393	SI-D Tunnel diode
1N4436	SI-D 200V 10A
1N4437	SI-D 400V 10A
1N4438	SI-D 600V 10A
1N4439	SI-D 800V 10A
1N4440	SI-D 1000V 10A
1N4441	SI-D 1500V 25mA <300ns
1N4442	SI-D 30V 1ns
1N4443	SI-D 30V 0.6ns
1N4444	SI-D 70V 0.225A <7ns
1N4445	SI-D 125V <4ns
1N4446	SI-D 100V 0.2A <4ns
1N4447	SI-D 100V 0.2A <4ns
1N4448	SI-D 100V 0.2A <4ns
1N4449	SI-D 100V 0.2A <4ns
1N4450	SI-D 30V 0.2A <4ns
1N4451	SI-D 30V 0.2A <10ns
1N4454	SI-D 50V 0.2A <10ns
1N4456	SI-D 35V <1.5ns
1N4457	SI-D 50V <1.5ns
1N4458	SI-D 800V 5A
1N4459	SI-D 1000V 5A
1N4497	SI-D 1.6KV 0.75A
1N4498	SI-D 3KV 0.75A
1N4500	SI-D 80V <4ns
1N4502	GE-D 20V Uni
1N4505	SI-D 6KV 0.1A
1N4506	SI-D 200V 12A
1N4507	SI-D 400V 12A
1N4508	SI-D 600V 12A
1N4509	SI-D 800V 12A
1N4510	SI-D 1000V 12A
1N4511	SI-D 1200V 12A
1N4513	SI-D 2000V 0.25A
1N4514	SI-D 800V 1.1A
1N4517	SI-D 200V 2A
1N4523	GE-D 15V <8ns
1N4524	GE-D 10V <3ns
1N4525	SI-D 200V 35A
1N4526	SI-D 400V 35A
1N4527	SI-D 600V 35A
1N4528	SI-D 800V 35A
1N4529	SI-D 1000V 35A
1N4530	SI-D 1200V 35A
1N4531	SI-D 75V 0.15A <4ns
1N4532	SI-D 75V 0.15A <2ns
1N4533	SI-D 40V 0.075A <2ns
1N4534	SI-D 75V 0.075A <2ns
1N4536	SI-D 25V 0.075A <2ns
1N4537	SI-D 1800V 3A
1N4538	SI-D 2400V 3A
1N4539	SI-D 3000V 3A
1N4540	SI-D 3600V 3A
1N4541	SI-D 225V 0.4A
1N4542	SI-D 400V 0.4A
1N4543	SI-D 600V 0.4A
1N4544	SI-D 800V 0.4A
1N4545	SI-D 1000V 0.4A
1N4546	SI-D 25KV 1A
1N4547	SI-D 25V <60ns
1N4548	SI-D 25V <2ns
1N4606	SI-D 85V 0.35A <6ns
1N4607	SI-D 85V 0.35A <15ns
1N4608	SI-D 85V 0.35A <15ns
1N4610	SI-D 80V <4ns
1N4718	SI-D 50V <180ns
1N4719	SI-D 50V 3A
1N4720	SI-D 100V 3A
1N4721	SI-D 200V 3A
1N4722	SI-D 400V 3A
1N4723	SI-D 600V 3A
1N4724	SI-D 800V 3A
1N4725	SI-D 1000V 3A
1N4726	SI-D 20V 0.06A
1N4727	SI-D 20V 0.075A
1N4785	GE-D 320V 7A TV-damper
1N4816	SI-D 50V 1.5A
1N4817	SI-D 100V 1.5A
1N4818	SI-D 200V 1.5A
1N4819	SI-D 300V 1.5A
1N4820	SI-D 400V 1.5A
1N4821	SI-D 500V 1.5A
1N4822	SI-D 600V 1.5A
1N4823	SI-D 100V 1A <100ns
1N4824	SI-D 200V 1A <100ns
1N4825	SI-D 400V 1A <100ns
1N4826	SI-D 600V 1A <100ns
1N4827	GE-D 30V 200ns
1N4861	SI-D 40V <1us
1N4862	SI-D 70V <1us
1N4863	SI-D 70V 0.2A <7ns
1N4864	SI-D 125V 0.2A <4ns
1N4865	SI-D 1.5KV 1.25A
1N4866	SI-D 2.5KV 1.25A
1N4867	SI-D 3KV 1.25A
1N4868	SI-D 5KV 1.25A
1N4869	SI-D 7.5KV 1.25A
1N4870	SI-D 10KV 1.25A
1N4871	SI-D 12KV 1.25A
1N4872	SI-D 15KV 1.25A
1N4873	SI-D 20KV 1.25A
1N4874	SI-D 25KV 1.25A
1N4875	SI-D 30KV 1.25A
1N4876	SI-D 40KV 1.25A
1N4877	SI-D 50KV 1.25A
1N4887	SI-D 75KV 1.25A
1N4888	SI-D 12V <0.5ns
1N4938	SI-D = 1N3070
1N4941	GAAS-D UHF-tuning
1N4949	SI-D 35V <0.3ns
1N4950	SI-D 30V <4ns
1N5004	SI-D 100V 1A
1N5005	SI-D 200V 1A
1N5006	SI-D 400V 1A
1N5007	SI-D 600V 1A
1N5055	SI-D 100V 1A
1N5056	SI-D 200V 1A
1N5057	SI-D 300V 0.8A
1N5058	SI-D 400V 0.8A
1N5170	SI-D 15V 2A
1N5171	SI-D 50V 2A
1N5172	SI-D 100V 2A
1N5173	SI-D 300V 2A
1N5174	SI-D 400V 2A
1N5175	SI-D 500V 2A
1N5176	SI-D 600V 2A
1N5177	SI-D 800V 2A
1N5178	SI-D 1000V 2A
1N5180	SI-D 120V 4A
1N5181	SI-D 4KV 0.1A
1N5182	SI-D 5KV 0.1A
1N5183	SI-D 7.5KV 0.1A
1N5184	SI-D 10KV 0.1A
1N5195	SI-D 200V 0.2A
1N5196	SI-D 250V 0.2A
1N5197	SI-D 50V 3A
1N5198	SI-D 100V 3A
1N5199	SI-D 200V 3A
1N5200	SI-D 400V 3A
1N5201	SI-D 600V 3A
1N5206	SI-D 440V 2A
1N5207	SI-D 440V 4A
1N5208	SI-D 70V 0.075A
1N5209	SI-D 150V 0.055A
1N5210	SI-D 200V 0.04A
1N5211	SI-D 200V 1A
1N5212	SI-D 400V 1A
1N5213	SI-D 600V 1A
1N5214	SI-D 800V 1A
1N5215	SI-D 200V 1A
1N5216	SI-D 400V 1A
1N5217	SI-D 600V 1A
1N5218	SI-D 800V 1A
1N5219	SI-D 30V <2ns
1N5220	SI-D 30V <0.7ns
1N5315	SI-D 100V 0.2A <4ns
1N5316	SI-D 100V 0.135A <4ns
1N5317	SI-D 80V 0.125A <4ns
1N5318	SI-D 75V 0.125A <4ns
1N5319	SI-D 40V 0.1A <4ns
1N5320	SI-D 120V 1A <250ns
1N5321	SI-D-S 30V
1N5322	SI-D-S 30V
1N5323	SI-D-S 20V
1N5324	SI-D 15KV 0.01A
1N5326	SI-D 200V 12A
1N5329	SI-D 6KV 0.135A
1N5330	SI-D 1500V 0.54A
1N5331	SI-D 1200V 12A
1N5332	SI-D 1200V 35A
1N5389	SI-D 40KV
1N5390	SI-D-S 5V
1N5391	SI-D 50V 1.5A
1N5392	SI-D 100V 1.5A
1N5393	SI-D 200V 1.5A
1N5394	SI-D 300V 1.5A
